,min,max,mean,std
0,-8.952838470577262e-16,7.105427357601002e-16,-4.8274919415482804e-18,1.8756638757403991e-16
1,-6.536993168992923e-16,7.105427357601002e-16,7.164854568228212e-18,1.7497794387473137e-16
2,-6.821210263296962e-16,7.105427357601002e-16,-6.398114361548903e-18,1.8259491457591817e-16
3,-7.389644451905043e-16,9.379164112033325e-16,1.1911280043105673e-18,2.1398072866529788e-16
4,-6.821210263296962e-16,8.810729923425242e-16,1.9036085838954695e-18,1.8707983917024613e-16
5,-8.242295734817164e-16,7.958078640513122e-16,1.2547538765581762e-18,2.0647864764847127e-16
6,-8.810729923425242e-16,6.821210263296962e-16,-2.8150411294931986e-18,1.9970947083136694e-16
7,-7.815970093361102e-16,7.105427357601002e-16,-5.590033486607188e-18,1.869389114427554e-16
8,-7.389644451905043e-16,8.242295734817164e-16,-2.4080939262851386e-18,1.9473940226162667e-16
9,-6.536993168992923e-16,7.105427357601002e-16,7.571801771436268e-18,2.0244409506773406e-16
10,-6.821210263296962e-16,8.526512829121202e-16,-3.6773816315293186e-18,2.1606059560842107e-16
11,-7.105427357601002e-16,7.958078640513122e-16,-1.77829468322505e-18,1.85288031831661e-16
12,-8.810729923425242e-16,6.821210263296962e-16,-7.899943325769119e-19,2.021954352088127e-16
13,-1.4210854715202005e-15,7.389644451905043e-16,-3.4286916740132833e-18,2.021537777759424e-16
14,-7.389644451905043e-16,7.958078640513122e-16,8.92441676114686e-18,2.1566632767182261e-16
15,-6.821210263296962e-16,7.673861546209082e-16,5.358784123514355e-18,2.0843300858268282e-16
16,-7.389644451905043e-16,7.958078640513122e-16,-3.4745539778668904e-18,2.0507116312749256e-16
17,-7.105427357601002e-16,7.673861546209082e-16,1.7543946093858467e-18,1.9082518908763832e-16
18,-7.389644451905043e-16,7.815970093361102e-16,3.83305508545494e-18,2.079555572942727e-16
19,-8.810729923425242e-16,7.389644451905043e-16,-8.72546479513403e-18,1.981782982483431e-16
20,-6.536993168992923e-16,8.810729923425242e-16,-4.7141280777974644e-18,1.8777834456802607e-16
21,-6.821210263296962e-16,7.389644451905043e-16,9.082028058897296e-19,1.8658085145188312e-16
22,-7.958078640513122e-16,7.389644451905043e-16,1.012846372428943e-18,2.0840922976973935e-16
23,-7.105427357601002e-16,6.536993168992923e-16,-2.5372835146051583e-18,2.125451803707763e-16
24,-7.105427357601002e-16,7.673861546209082e-16,1.1655484658232044e-17,2.0975424147670596e-16
25,-7.958078640513122e-16,6.821210263296962e-16,3.289166918627663e-18,2.1208392515062524e-16
26,-7.389644451905043e-16,7.389644451905043e-16,-1.8693733429906637e-18,2.0387641034657495e-16
27,-7.958078640513122e-16,6.821210263296962e-16,-2.9045049194048097e-18,2.0154366818017076e-16
28,-7.105427357601002e-16,8.242295734817164e-16,-2.917746852207611e-18,2.1181289628729626e-16
29,-9.556799795973348e-16,9.947598300641404e-16,-4.9092043561606904e-18,1.8982575350725633e-16
30,-9.094947017729285e-16,7.389644451905043e-16,4.433786671143024e-18,1.6762188268573928e-16
31,-7.389644451905043e-16,7.389644451905043e-16,-7.59893158498347e-18,2.036686800719825e-16
32,-7.105427357601002e-16,7.105427357601002e-16,9.16729318718849e-18,1.8941732763357066e-16
33,-7.958078640513122e-16,7.389644451905043e-16,1.5967833116354258e-18,1.937904182608215e-16
34,-7.389644451905043e-16,7.958078640513122e-16,5.057126434787114e-18,1.923505590387853e-16
35,-7.389644451905043e-16,6.821210263296962e-16,2.814072207580797e-18,1.7181274071131874e-16
36,-8.526512829121202e-16,9.663381206337365e-16,-5.0655237580279155e-18,2.1282548721269518e-16
37,-8.242295734817164e-16,6.821210263296962e-16,-6.225646261141679e-18,1.8930698845822965e-16
38,-6.821210263296962e-16,7.389644451905043e-16,1.3280689679297872e-18,1.9755037053585108e-16
39,-6.821210263296962e-16,7.958078640513122e-16,-3.0488742843524347e-19,2.0294241775762896e-16
40,-7.105427357601002e-16,7.389644451905043e-16,-1.2841445079009808e-18,1.9277609099213028e-16
41,-7.105427357601002e-16,7.105427357601002e-16,7.064086689338595e-18,2.0731341178375422e-16
42,-6.821210263296962e-16,7.958078640513122e-16,4.198661620400592e-18,2.179969728414872e-16
43,-6.821210263296962e-16,7.389644451905043e-16,-6.235981428207279e-18,1.9905281766511996e-16
44,-7.389644451905043e-16,6.536993168992923e-16,4.715419973680673e-19,2.0069647213707725e-16
45,-6.536993168992923e-16,7.105427357601002e-16,-3.3718482551524746e-18,1.979522889054258e-16
46,-7.389644451905043e-16,7.389644451905043e-16,-2.892554882485208e-18,2.1225178117410963e-16
47,-8.242295734817164e-16,7.673861546209082e-16,2.569580911685161e-18,2.187862804685887e-16
48,-7.105427357601002e-16,6.252776074688881e-16,-5.518979213031179e-18,1.9822392788056238e-16
49,-7.105427357601002e-16,7.105427357601002e-16,5.632666050752782e-19,1.7868034443939517e-16
50,-6.252776074688881e-16,6.536993168992923e-16,-2.351250507424328e-19,1.823987286571099e-16
51,-7.815970093361102e-16,8.242295734817164e-16,-2.4352237398323436e-18,2.0956720726487656e-16
52,-7.105427357601002e-16,7.673861546209082e-16,-1.3784529073745934e-18,1.991775521667973e-16
53,-5.968558980384842e-16,6.536993168992923e-16,-1.83836784179386e-18,1.8022748634623726e-16
54,-7.105427357601002e-16,6.679101716144942e-16,-9.178920250137303e-19,1.8817220190211513e-16
55,-8.526512829121202e-16,8.526512829121202e-16,4.845901457883884e-18,1.9227467926453444e-16
56,-7.673861546209082e-16,7.105427357601002e-16,1.9488249398074756e-18,2.0470834606359207e-16
57,-7.673861546209082e-16,7.389644451905043e-16,5.404000479426362e-18,1.8982509059775666e-16
58,-7.389644451905043e-16,8.526512829121202e-16,4.9802586297367014e-18,1.9077400005038858e-16
59,-5.684341886080803e-16,6.821210263296962e-16,3.1599773303076457e-18,1.7961329569762569e-16
60,-7.105427357601002e-16,6.821210263296962e-16,-2.5062780134083583e-19,2.004707487887179e-16
61,-2.984279490192421e-16,2.8421709430404013e-16,1.8965031565378683e-18,4.7482265349576366e-17
62,0.9999999999999996,1.0000000000000002,1.0,4.5018609559441935e-17
63,0.9999999999999996,1.0000000000000002,1.0,4.481896950896382e-17
64,0.9999999999999998,1.0000000000000002,1.0,4.149430282249182e-17
65,0.9999999999999998,1.0000000000000002,1.0,4.1709859092841604e-17
66,0.9999999999999996,1.0000000000000002,1.0,4.3601937513430953e-17
67,0.9999999999999998,1.0000000000000002,1.0,4.481896950896382e-17
68,0.9999999999999998,1.0000000000000002,1.0,4.6392040895026555e-17
69,0.9999999999999998,1.0000000000000002,1.0,4.213766371293974e-17
70,0.9999999999999998,1.0000000000000002,1.0,4.149430282249182e-17
71,0.9999999999999998,1.0000000000000002,1.0,3.716192633790304e-17
72,0.9999999999999998,1.0000000000000002,1.0,3.643080060448283e-17
73,0.9999999999999998,1.0000000000000002,1.0,4.062064070696644e-17
74,0.9999999999999998,1.0000000000000002,1.0,3.8582636535934434e-17
75,0.9999999999999998,1.0000000000000002,1.0,3.3879956382544265e-17
76,0.9999999999999998,1.0000000000000002,1.0,4.062064070696644e-17
77,0.9999999999999998,1.0000000000000002,1.0,4.234994547818033e-17
78,0.9999999999999998,1.0000000000000002,1.0,3.7641454897278197e-17
79,0.9999999999999998,1.0000000000000002,1.0,3.950139943526326e-17
80,0.9999999999999998,1.0000000000000002,1.0,3.81149509303623e-17
81,0.9999999999999998,1.0000000000000002,1.0,3.9727770339704005e-17
82,0.9999999999999998,1.0000000000000002,1.0,3.9273723766968777e-17
83,0.9999999999999998,1.0000000000000002,1.0,4.4416997537039035e-17
84,0.9999999999999996,1.0000000000000002,1.0,3.716192633790304e-17
85,0.9999999999999998,1.0000000000000002,1.0,4.1709859092841604e-17
86,0.9999999999999996,1.0000000000000002,1.0,4.1924307082702627e-17
87,0.9999999999999998,1.0000000000000002,1.0,3.716192633790304e-17
88,0.9999999999999998,1.0000000000000002,1.0,3.716192633790304e-17
89,0.9999999999999998,1.0000000000000002,1.0,3.9273723766968777e-17
90,0.9999999999999998,1.0000000000000002,1.0,4.017668594849956e-17
91,0.9999999999999998,1.0000000000000002,1.0,4.1924307082702627e-17
92,0.9999999999999998,1.0000000000000002,1.0,4.7158903440241377e-17
93,0.9999999999999998,1.0000000000000002,1.0,4.105979553145091e-17
94,0.9999999999999998,1.0000000000000002,1.0,4.234994547818033e-17
